name,sku_code,studio_price,Main image,Angle image,publish,is_best_seller,is_featured_product,small_desc,long_desc,highlights,services,specifications,brand_color,size,category,sub_category,ideal_for,brand,type,inventory,sleeve,neck_front,neck_back,opening,fit,style,weave_type,pattern,embellished,embroidered,occasion,age_group,seller,designer,warranty,fabric/material,fabric_care/care,ean_upc,vat,measuring_unit,dimension_unit,package_length,package_width,package_height,package_weight,pack_of,sales_package,meta_desc,meta_keywords,disclaimer,is_rent,is_sell,rent_price,categories_id,bust_size,hips_size,waist_size
Round shaped vilandi pair of bangles ,B277.22.2,3200,B277.22.2-3200(1).jpg,"B277.22.2-3200(1).jpg, B277.22.2-3200(2).jpg",1,,,,"•Round shaped vilandi pair of bangles 
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic or Modern outfits like Anarkali, Lehengas, Sarees or Gowns.
•It has a brass metal base. 
•Suitable for all age group of women.",,,,Gold,2.2,Jewellery,BANGLES,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,,,
Round shaped vilandi pair of bangles ,B277.22.4 ,3200,B277.22.4-3200(1).jpg,"B277.22.4-3200(1).jpg, B277.22.4-3200(2).jpg",1,,,,"•Round shaped vilandi pair of bangles 
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic or Modern outfits like Anarkali, Lehengas, Sarees or Gowns.
•It has a brass metal base. 
•Suitable for all age group of women.",,,,Gold,2.4,Jewellery,BANGLES,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,,,
Round shaped vilandi pair of bangles ,B277.22.6,3200,B277.22.6-3200(1).jpg,"B277.22.6-3200(1).jpg, B277.22.6-3200(2).jpg",1,,,,"•Round shaped vilandi pair of bangles 
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic or Modern outfits like Anarkali, Lehengas, Sarees or Gowns.
•It has a brass metal base. 
•Suitable for all age group of women.",,,,Gold,2.6,Jewellery,BANGLES,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,,,
Round shaped vilandi pair of bangles ,B277.22.8,3200,B277.22.8-3200(1).jpg,"B277.22.8-3200(1).jpg, B277.22.8-3200(2).jpg",1,,,,"•Round shaped vilandi pair of bangles 
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, these Bangles with intricate carvings around the circumference can look elegant and stylish when worn with Ethnic or Modern outfits like Anarkali, Lehengas, Sarees or Gowns.
•It has a brass metal base. 
•Suitable for all age group of women.",,,,Gold,2.8,Jewellery,BANGLES,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,,,
CZ/AD borla with rhodium polish,BO517A,2000,BO517A-2000(1).jpg,"BO517A-2000(1).jpg, BO517A-2000(2).jpg",1,,,,"
•CZ/AD borla with rhodium polish
•This will match well with lehengas and heavy ethnic outfits.
•Just combine this borla with American Diamond Chandelier Earrings for a perfect party/wedding look.
",,,,White,,Jewellery,BORLA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,30,,,
CZ/AD borla with rhodium & rose gold polish,BO517,2000,BO517-2000(1).jpg,"BO517-2000(1).jpg, BO517-2000(2).jpg",1,,,,"•CZ/AD borla with rhodium & rose gold polish
•American Diamond borla with gold & silver polish chain.  
•This will match well with lehengas and heavy ethnic outfits.
•Just combine this borla with American Diamond Chandelier Earrings for a perfect party/wedding look.
",,,,White & Rose ,,Jewellery,BORLA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,30,,,
CZ/AD bracelet / kada with rose gold polish,BR74,3600,BR74-3600(1).jpg,"BR74-3600(1).jpg, BR74-3600(2).jpg, BR74-3600(3).jpg",1,,,,"•CZ/AD bracelet / kada with rose gold polish
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bracelet / Kada  can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,White & Gold,,Jewellery,BRACELET / KADA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,
CZ/AD bracelet / kada with rhodium & rose gold polish,BR75,3600,BR75-3600(1).jpg,BR75-3600(1).jpg,1,,,,"•CZ/AD bracelet / kada with rhodium & rose gold polish
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bracelet / Kada  can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,White & Rose ,,Jewellery,BRACELET / KADA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,
CZ/AD bracelet / kada with rhodium polish,BR74A,3600,BR74A-3600(1).jpg,"BR74A-3600(1).jpg, BR74A-3600(2).jpg",1,,,,"•CZ/AD bracelet / kada with rhodium polish
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bracelet / Kada  can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,Gold,,Jewellery,BRACELET / KADA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,
CZ/AD bracelet / kada with rose gold polish,BR78,4100,BR78-4100(1).jpg,"BR78-4100(1).jpg, BR78-4100(2).jpg",1,,,,"•CZ/AD bracelet / kada with rose gold polish
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bracelet / Kada  can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,White & Rose ,,Jewellery,BRACELET / KADA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,
CZ/AD bracelet / kada with golden polish,BR78A,4100,BR78A-4100(1).jpg,"BR78A-4100(1).jpg, BR78A-4100(2).jpg",1,,,,"•CZ/AD bracelet / kada with golden polish
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bracelet / Kada  can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,White & Gold,,Jewellery,BRACELET / KADA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,
CZ/AD bracelet / kada with golden polish,BR79,2800,BR79-2800(1).jpg,"BR79-2800(1).jpg, BR79-2800(2).jpg",1,,,,"•CZ/AD bracelet / kada with golden polish
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bracelet / Kada  can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,White & Gold,,Jewellery,BRACELET / KADA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,
CZ/AD antique bracelet / kada with rhodium and rose gold polish,BR80,3800,BR80-3800(1).jpg,BR80-3800(1).jpg,1,,,,"•CZ/AD antique bracelet / kada with rhodium and rose gold polish
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bracelet / Kada  can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,White & Rose ,,Jewellery,BRACELET / KADA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,
CZ/AD bracelet / kada with rhodium polish,BR81,3400,BR81-3400(1).jpg,"BR81-3400(1).jpg, BR81-3400(2).jpg",1,,,,"•CZ/AD bracelet / kada with rhodium polish
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bracelet / Kada  can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,White,,Jewellery,BRACELET / KADA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,
CZ/AD bracelet / kada with golden polish,BR81A,3400,BR81A-3400(1).jpg,"BR81A-3400(1).jpg, BR81A-3400(2).jpg",1,,,,"•CZ/AD bracelet / kada with golden polish
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bracelet / Kada  can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,White & Gold,,Jewellery,BRACELET / KADA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,
CZ/AD antique bracelet / kada with rhodium and rose gold polish,BR81B,3400,BR81B-3400(1).jpg,"BR81B-3400(1).jpg, BR81B-3400(2).jpg",1,,,,"•CZ/AD antique bracelet / kada with rhodium and rose gold polish
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bracelet / Kada  can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,White & Rose ,,Jewellery,BRACELET / KADA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,
CZ/AD bracelet / kada with rose gold polish,BR81C,3400,BR81C-3400(1).jpg,"BR81C-3400(1).jpg, BR81C-3400(2).jpg",1,,,,"•CZ/AD bracelet / kada with rose gold polish
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bracelet / Kada  can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,Gold,,Jewellery,BRACELET / KADA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,
CZ/AD antique bracelet / kada with rhodium polish,BR83,2300,BR83-2300(1).jpg,"BR83-2300(1).jpg, BR83-2300(2).jpg",1,,,,"•CZ/AD antique bracelet / kada with rhodium polish
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bracelet / Kada  can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,Gold,,Jewellery,BRACELET / KADA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,
CZ/AD bracelet / kada with golden polish,BR83A,2300,BR83A-2300(1).jpg,"BR83A-2300(1).jpg, BR83A-2300(2).jpg",1,,,,"•CZ/AD antique bracelet / kada with rhodium polish
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bracelet / Kada  can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,Gold,,Jewellery,BRACELET / KADA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,
CZ/AD bracelet / kada with rose gold polish,BR83B,2300,BR83B-2300(1).jpg,"BR83B-2300(1).jpg, BR83B-2300(2).jpg",1,,,,"•CZ/AD bracelet / kada with rose gold polish
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bracelet / Kada  can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,White & Rose ,,Jewellery,BRACELET / KADA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,
CZ/AD antique bracelet / kada with rhodium and rose gold polish,BR83C,2300,BR83C-2300(1).jpg,"BR83C-2300(1).jpg, BR83C-2300(2).jpg",1,,,,"•CZ/AD antique bracelet / kada with rhodium and rose gold polish
•Give a rich and elegant touch to your attire.
•Unique design for women who love to look different.
•Featuring attractive designs, this Bracelet / Kada  can look elegant and stylish when worn with traditional & ethnic outfits like anarkali, lehengas, sarees & gowns.
•It has brass metal base. 
•Suitable for all age group of women.",,,,Gold,,Jewellery,BRACELET / KADA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,
CZ/AD earrings with rhodium & rose gold polish,EAR868,3700,EAR868-3700(1).jpg,"EAR868-3700(1).jpg, EAR868-3700(2).jpg",1,,,,"•CZ/AD earrings with rhodium & rose gold polish 
•Look feminine and elegant by wearing these beautiful earrings.
•Featuring attractive designs, these earrings can look elegant and stylish when worn with anarkali, lehengas, gowns or sarees. 
•So enhance your style quotient on almost any occasion by wearing these earrings.
•It has Brass metal base. 
•Give a rich yet elegant touch to your attire. 
•Back Screw for locking. 
•These earrings have been intricately designed for all the jewellery lovers.",,,,Gold,,Jewellery,Earrings,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11,,,
CZ/AD zhumki earrings rhodium & rose gold polish with pearl drop,EAR881,2700,EAR881-2700(1).jpg,EAR881-2700(1).jpg,1,,,,"•CZ/AD zhumki earrings rhodium & rose gold polish with pearl drop
•Look feminine and elegant by wearing these beautiful earrings.
•Featuring attractive designs, these earrings can look elegant and stylish when worn with anarkali, lehengas, gowns or sarees. 
•So enhance your style quotient on almost any occasion by wearing these earrings.
•It has Brass metal base. 
•Give a rich yet elegant touch to your attire. 
•Back Screw for locking. 
•These earrings have been intricately designed for all the jewellery lovers.",,,,White & Rose ,,Jewellery,Earrings,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11,,,
CZ/AD earrings with golden & rose gold polish,EAR916,3700,EAR916-3700(1).jpg,"EAR916-3700(1).jpg, EAR916-3700(2).jpg, EAR916-3700(3).jpg",1,,,,"•CZ/AD earrings with golden & rose gold polish
•Look feminine and elegant by wearing these beautiful earrings.
•Featuring attractive designs, these earrings can look elegant and stylish when worn with anarkali, lehengas, gowns or sarees. 
•So enhance your style quotient on almost any occasion by wearing these earrings.
•It has Brass metal base. 
•Give a rich yet elegant touch to your attire. 
•Back Screw for locking. 
•These earrings have been intricately designed for all the jewellery lovers.",,,,Gold,,Jewellery,Earrings,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11,,,
CZ/AD earrings with rhodium polish,EAR916A,3700,EAR916A-3700(1).jpg,"EAR916A-3700(1).jpg, EAR916A-3700(2).jpg, EAR916A-3700(3).jpg",1,,,,"•CZ/AD earrings with rhodium polish 
•Look feminine and elegant by wearing these beautiful earrings.
•Featuring attractive designs, these earrings can look elegant and stylish when worn with anarkali, lehengas, gowns or sarees. 
•So enhance your style quotient on almost any occasion by wearing these earrings.
•It has Brass metal base. 
•Give a rich yet elegant touch to your attire. 
•Back Screw for locking. 
•These earrings have been intricately designed for all the jewellery lovers.",,,,White,,Jewellery,Earrings,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11,,,
 designer antique earrings with zhumkis & hanging pearls,EAR919,3000,EAR919-3000(1).jpg,EAR919-3000(1).jpg,1,,,,"• Designer antique earrings with zhumkis & hanging pearls
•Look feminine and elegant by wearing these beautiful earrings.
•Featuring attractive designs, these earrings can look elegant and stylish when worn with anarkali, lehengas, gowns or sarees. 
•So enhance your style quotient on almost any occasion by wearing these earrings.
•It has Brass metal base. 
•Give a rich yet elegant touch to your attire. 
•Back Screw for locking. 
•These earrings have been intricately designed for all the jewellery lovers.",,,,Gold,,Jewellery,Earrings,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11,,,
CZ/AD earrings with rose gold polish,EAR932,1500,EAR932-1500(1).jpg,"EAR932-1500(1).jpg, EAR932-1500(2).jpg",1,,,,"•CZ/AD earrings with rose gold polish
•Look feminine and elegant by wearing these beautiful earrings.
•Featuring attractive designs, these earrings can look elegant and stylish when worn with anarkali, lehengas, gowns or sarees. 
•So enhance your style quotient on almost any occasion by wearing these earrings.
•It has Brass metal base. 
•Give a rich yet elegant touch to your attire. 
•Back Screw for locking. 
•These earrings have been intricately designed for all the jewellery lovers.",,,,White & Rose ,,Jewellery,Earrings,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11,,,
CZ/AD earrings with rose gold polish & emerald coloured stones,EAR932A,1500,EAR932A-1500(1).jpg,"EAR932A-1500(1).jpg, EAR932A-1500(2).jpg",1,,,,"•CZ/AD earrings with rose gold polish & emerald coloured stones
•Look feminine and elegant by wearing these beautiful earrings.
•Featuring attractive designs, these earrings can look elegant and stylish when worn with anarkali, lehengas, gowns or sarees. 
•So enhance your style quotient on almost any occasion by wearing these earrings.
•It has Brass metal base. 
•Give a rich yet elegant touch to your attire. 
•Back Screw for locking. 
•These earrings have been intricately designed for all the jewellery lovers.",,,,White & Rose ,,Jewellery,Earrings,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11,,,
CZ/AD earrings with rose gold polish & ruby coloured stone,EAR932B,1500,EAR932B-1500(1).jpg,"EAR932B-1500(1).jpg, EAR932B-1500(2).jpg",1,,,,"•CZ/AD earrings with rose gold polish & ruby coloured stone
•Look feminine and elegant by wearing these beautiful earrings.
•Featuring attractive designs, these earrings can look elegant and stylish when worn with anarkali, lehengas, gowns or sarees. 
•So enhance your style quotient on almost any occasion by wearing these earrings.
•It has Brass metal base. 
•Give a rich yet elegant touch to your attire. 
•Back Screw for locking. 
•These earrings have been intricately designed for all the jewellery lovers.",,,,Gold,,Jewellery,Earrings,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11,,,
